RiskAssessmentID,CustomerID,LoanID,CreditScoreAtLoan,RiskCategory,DefaultProbability,RiskMitigation
161,34,1,530,Medium,0.24,Insurance
162,34,117,523,High,0.04,Collateral
163,21,19,494,High,0.08,Insurance
164,46,18,442,Medium,0.21,Collateral
165,42,144,417,Low,0.15,Insurance
166,45,112,687,High,0.15,Co-signer
167,75,64,762,Low,0.25,Collateral
168,61,153,433,Low,0.19,Insurance
169,23,197,605,Low,0.26,Collateral
170,99,184,375,Low,0.15,Insurance
171,79,121,434,Medium,0.29,Insurance
172,31,164,553,Low,0.26,Co-signer
173,87,62,515,Low,0.1,Insurance
174,59,73,455,Medium,0.14,None
175,42,129,500,Medium,0.03,None
176,15,153,623,Medium,0.23,Collateral
177,76,16,325,High,0.11,Collateral
178,50,16,607,Medium,0.16,Insurance
179,25,19,389,Low,0.3,None
180,78,161,508,Medium,0.22,Insurance
181,91,18,798,Medium,0.22,Co-signer
182,69,86,601,High,0.2,Co-signer
183,90,144,674,Low,0.07,Collateral
184,41,158,560,Medium,0.15,Collateral
185,96,152,512,High,0.29,None
186,70,199,607,High,0.02,Insurance
187,72,148,576,Medium,0.29,Insurance
188,100,79,742,Medium,0.14,Co-signer
189,51,51,645,Low,0.25,None
190,21,125,702,Medium,0.28,Co-signer
191,15,45,416,High,0.07,None
192,74,35,762,High,0.2,None
193,2,195,544,Medium,0.17,Collateral
194,21,26,658,High,0.18,None
195,98,103,563,Low,0.12,Insurance
196,28,28,695,Low,0.3,Insurance
197,39,193,605,Low,0.28,Co-signer
198,91,151,675,High,0.17,Insurance
199,9,57,507,Low,0.26,Insurance
200,51,16,809,High,0.02,Collateral
